,(ambience#positive),I in all reality felt as if I had just gotten off Air France and was in the 8th District in Paris.
,(anecdotes/miscellaneous#positive),I have never had anything like it!
,(anecdotes/miscellaneous#neutral),"Yeah the crowd can take it a bit seriously, but it shouldn't."
(dessert#positive),(food#positive)(price#positive)(service#positive),And they provided a delicious dessert on the house!
(reservation#negative),(service#negative),"They are still living in the dark ages and do not have an answering machine, so if you want to make a reservation you are limited."
(food#positive)(pastas#positive)(pizza#positive),(food#positive),"The food is amazing, rich pastas and fresh doughy pizza."
(Food#positive),(food#positive),"Food was very good, but not what I would consider out of this world."
(Lobster Bisque#positive)(Maine Lobster#positive),(food#positive),I had Lobster Bisque it has 2 oz. of Maine Lobster in it.
,(anecdotes/miscellaneous#neutral),"I am Indian, and I have tried many Indian places in NY."
(Pad Thai#positive)(prices#positive),(food#positive)(price#positive),"Try the Pad Thai, it's fabulous and their prices are so cheap!"
,(anecdotes/miscellaneous#neutral),"On a recent Saturday night, I was with a group of 5 at the Bread Bar."
(Food#positive),(food#positive)(price#positive),Food is great and inexpensive.
(price#positive),(price#positive),The price very reasonable.
(Dessert#positive),(food#positive),"Dessert - can't be missed, so save room!!!"
(food#positive),(food#positive),"It can be a little confusing as to where one goes to order, but once the food is ordered, you are in for a treat."
,(price#negative),"Take a good sense of humor,an American express card with no limit, walk out with a lollipop,gift bag in hand and enough marketing materials for alain to to take the show on the road"
(Ingredients#positive),(food#positive),Ingredients are organic which is a real plus for me.
(food#negative),(anecdotes/miscellaneous#negative)(food#negative),It was so bad I actually refused to pay for my food.
(cuisine#positive)(prices#positive),(anecdotes/miscellaneous#positive)(food#positive)(price#positive),I recommend this spot to anyone who enjoys  fine cuisine at reasonable prices.
,(anecdotes/miscellaneous#positive)(price#negative),"This is, by far, my favorite restaurant in NYC and I only wish it were more affordable so I could go more often!"
(staff#positive)(ambience#positive)(food#positive),(food#positive)(service#positive)(ambience#positive),"The staff was very attentive, the ambience lovely, and the food superb."
(ingrediants#positive)(cuisine#positive)(food#positive),(food#negative),"I love when restaurants think using fancy expensive ingrediants makes the food fine cuisine, even with no idea how to use them."
(Pizza#positive)(wine#positive)(service#positive)(backyard dining area#positive),(food#positive)(service#positive)(ambience#positive),THe Pizza and wine were excellent-the service too--but what really MADE this place was the backyard dining area.
,(anecdotes/miscellaneous#positive),THE FRANKENSTEIN SHOW WAS THE BEST.
(waiters#positive)(food#positive)(bill#positive),(food#positive)(service#positive)(price#positive),"The waiters are sweet, the food is tasty and the bill is never too large."
,(anecdotes/miscellaneous#negative),"As a fan of Thai, I have tried quite a few different restaurants in NYC and this one was definitely the worst."
(service#positive),(service#positive),"The service was superb, they treat you like family."
(menu#positive)(food#positive),(anecdotes/miscellaneous#neutral)(food#positive),"We all had the tasting menu and unlike some of the other reviews, I felt there was more than enough food."
(table#positive),(service#positive),"It only took about five or so minutes to get an empty table, but standing up wasn't too bad."
(menu#negative),(food#conflict),"The menu may be small, but everything on it is delicious."
,(anecdotes/miscellaneous#neutral),Too bad Latin Quarters closed.
(rice#negative)(RICE#negative),(food#negative),They had scrapped the bottom of the vessel in which they make the rice -RESULT - WE HAD LARGE CHUNKS OF BURNT RICE IN OUR SERVING BOWL.
,(food#positive),It was divine melts in your mouth.
,(anecdotes/miscellaneous#positive),Stumbled upon this gem of a pizza place and I will be going back frequently.
,(anecdotes/miscellaneous#neutral),I live a block away and go to Patsy's frequently.
(chocolate cake#conflict)(vanilla gelato (with espresso)#conflict)(dessert#conflict),(food#positive)(price#negative),"- for dessert we split chocolate cake and vanilla gelato (with espresso), which were tasty, but I thought a bit overpriced."
,(anecdotes/miscellaneous#neutral),"When I visited my friend who lives in the Upper Eastside, she recommended that we go to this restaurant."
(surroundings#positive)(dining rooms#neutral),(ambience#positive),"Warm, comfortable surroundings, nice appointments (witness the etched glass and brickwork separating the dining rooms)."
(reservation#neutral)(table#positive),(anecdotes/miscellaneous#neutral)(service#positive),We ran a little late for the reservation but it wasn't a problem to get our table immediately.
,(anecdotes/miscellaneous#positive),Kudos Haru
(reservation#positive),(anecdotes/miscellaneous#neutral)(service#positive),We arrived on time for our reservation and seated promptly.The
,(anecdotes/miscellaneous#positive),I plan on eating here more often.
(dining#neutral),(anecdotes/miscellaneous#conflict),"I would definitely go back for a very special occasion, but not for regular fine dining."
(staff#positive),(service#positive),"The well mannered, pleasant staff that Tony has in his employ."
(flavors#positive),(food#positive),The flavors robust and subtle.
,(anecdotes/miscellaneous#positive),I came here for my friend's birthday and keep coming back ever since.
(oysters#positive)(quality#positive),(food#positive)(price#positive),"All I can say is $2 pints during happy hour and the some of the cheapest oysters you'll find in the city, though the quality is some of the best."
(table#neutral),(anecdotes/miscellaneous#negative),"I would never wait for a table to eat, it just is not THAT great."
(tiramisu chocolate cake#positive),(food#positive),"We concluded with tiramisu chocolate cake, both were delicious."
(counter service#negative),(service#negative),The counter service is bad.
,(anecdotes/miscellaneous#positive),I had a grat time at Jekyll and Hyde!
(Service#positive)(food#positive),(food#positive)(service#positive),"Service here was great, food was fantastic."
,(anecdotes/miscellaneous#conflict),"its a little out of the way if you don't live in the neighborhood, but definitely worth the trip from wherever you are."
(place#positive),(ambience#positive),"This is such a lovely, peaceful place to eat outside."
,(anecdotes/miscellaneous#negative),and we were thouroughly disapointed.
,(anecdotes/miscellaneous#neutral),This is the Jackel and Hideof the restaurants on the UES.
(sauce#positive)(crust#positive),(food#positive),The sauce is delicious and the crust is perfect.
,(anecdotes/miscellaneous#positive)(ambience#positive),"This is a great place to take out-of-towners, and perfect for watching the sunset."
(dinner#neutral)(brunch#neutral),(anecdotes/miscellaneous#neutral),Since my first dinner I have had the chance to have brunch at Orsay 3x.
(decore#negative)(food#neutral),(food#neutral)(price#negative)(ambience#negative),"You will pay a lot for the decore, but the food is no better or worse than a lot of other Chinese and Asian fusion places in NY."
(entrees#positive),(food#positive),They have some great entrees here as well.
,(anecdotes/miscellaneous#positive),"Our teenage kids love it, too."
(service#neutral),(service#neutral),The service is not consistently excellent -- just decent.
(food#positive)(served#neutral)(portions#positive)(dish#positive),(food#positive),"The food, served in small tasting portions (as an option) is very good with each dish being better than the next."
,(anecdotes/miscellaneous#positive),You guys are awesome!
(cater#positive),(food#positive)(service#positive),"They do cater to American palates, but if you like it hot let them know and they are more than willing to oblige!"
,(anecdotes/miscellaneous#positive),I loved this place!!
(mango chicken#positive)(presentation#positive),(food#positive),I had the mango chicken and i can't go on to tell you how delicious that was and the presentation was beatiful.
(food#neutral)(ambience#neutral),(food#neutral)(ambience#neutral),I care more about the food and ambience.
(drinks#negative),(food#negative)(price#negative),"Oh, but wait, we were out of drinks (which were also delightfully overpriced)."
,(anecdotes/miscellaneous#negative),Avoid at all costs.
,(anecdotes/miscellaneous#positive),I would highly recommend this place to everyone for any occasion!
(service#positive),(service#positive),The service is fantastic.
,(anecdotes/miscellaneous#positive),I recommend that you try this hidden spot which will surely blowup very soon
(garlic mashed potatoes#positive),(food#positive),The garlic mashed potatoes are hands down the best in the city!
(Food#neutral)(service#neutral),(food#neutral)(service#neutral),Food and service was okay.
,(ambience#positive),"great for a romantic evening, or a fun evening with friends..."
(lamb meat#negative),(food#negative),The lamb meat was under-cooked and EXTRMELY CHEWY.
(pad thai#positive),(food#positive),The best pad thai i've ever had.
(food quality#negative)(service#negative),(food#negative)(service#negative),"Over time, the food quality has decreased substantially, it is a lot less crowded than it used to, and the service must definitely be part of the reason."
(pizza#positive)(service#positive),(food#positive)(service#positive),Great pizza and fantastic service.
(waiter#negative)(red wine#neutral)(hot tea#neutral)(outside#neutral),(service#negative),We were seated outside and the waiter spilled red wine and hot tea on myself and my date.
(oil#negative),(anecdotes/miscellaneous#neutral),i would just ask for no oil next time.
(place#positive)(food#negative),(food#negative)(ambience#positive),"While this is a pretty place in that overly cute French way, the food was insultingly horrible."
(lunch#neutral),(anecdotes/miscellaneous#negative),I went there for lunch and it was not as good as I expected from the reviews I read.
,(anecdotes/miscellaneous#neutral),I really didn't know what to expect for a restaurant that literally overlooks the main hall of Grand Central.
,(food#positive),None of that yucky whipped stuff.
(wine list#negative)(desserts#negative),(food#negative),"The wine list isn't great, and the desserts are shipped in from Bruno's down the street, which is not as good as it used to be."
(Lassi#neutral),(service#negative),I ordered a Lassi and asked 4 times for it but never got it.
(coffee#positive),(food#positive),Their coffee is quite good too!
,(anecdotes/miscellaneous#negative),I would not recommend this place to anyone.
(wine list#positive)(food#positive)(service#conflict),(food#positive)(service#conflict),"great wine list (italian), good food, service was INITIALLY fine."
(space#positive)(tables#negative),(ambience#negative),"Despite the fact that the space is large, they've overcrowded the floor with tables."
,(service#negative),"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience."
(service#conflict)(waitresses#conflict),(service#conflict),"As far as the service goes, the waitresses were not particularly friendly, but they got the job done."
(place#negative),(service#negative),"They are not helpful in the least and will give you the grand run around so by the time the event date rolls around you will not only regret chosing this place, but also become hostile!"
(dish#neutral),(service#negative),I had to ask her three times before she finally came back with the dish Ive requested.
(host#neutral),(food#positive),"Normally that would be improper, however they were all delicious and my host did not complain."
(Taxan#positive),(food#positive),Taxan delicious!
,(anecdotes/miscellaneous#negative),"Perhaps it was an off night, but it was suprisingly average for a 9.3 rating."
(sandwiches#negative)(price#positive)(portion#positive),(food#conflict)(price#positive),"Unlike other places in NYC where the sandwiches you want only come as a triple-decker, here you can get what you want in a reasonably-sized portion (and price)."
(Southern Indian cuisine#neutral),(food#neutral),"Southern Indian cuisine is still there, too."
(place#positive),(anecdotes/miscellaneous#neutral),"Restaurant snobs need not bother, this is a small, neighborhood kind of place."
,(anecdotes/miscellaneous#positive),Have been dozens of times and never failed to enjoy the experience.
(salad#negative),(food#negative),They couldn't even make a salad that was appealing.
(tip#neutral),(price#positive),For two people with tip was less than $25 bucks.
(Sushi#positive),(food#positive),Killer Sushi!
(food#positive),(food#positive),Of course the reason its so packed is because the food is so delicious!
(Staffs#negative)(taste#positive),(food#positive)(service#negative),"Staffs are not that friendly, but the taste covers all."
(jukebox#positive),(ambience#neutral),The jukebox plays everything from Italian Opera to The Strokes.
,(anecdotes/miscellaneous#neutral),And I've been to many NYC delis.
,(anecdotes/miscellaneous#neutral),This place is always packed.
,(service#negative),Much of the time it seems like they do not care about you.
(martini#positive),(food#positive),Plus they made a perfect martini.
(food#neutral),(food#neutral),I am not sure if I would call the food here Indian as it is a fusion of what seems to be French with an Indian or exotic touch.
(cuisine#neutral),(anecdotes/miscellaneous#neutral),"I've eaten thai many times, and am very familiar with the cuisine."
(waiter#positive),(service#positive),The waiter was attentive.
(Margarita#positive),(food#positive),Their Margarita is best I've had since I've returned from Naples!
,(anecdotes/miscellaneous#positive),I highly recommend the restaurant based on our experience last night.
(tastes#positive),(food#positive),The tastes makes your mouth water for more.
,(anecdotes/miscellaneous#neutral),I came into the city to try out this restaurant because a friend had recommended it to my husband.
(sake list#positive)(Purple Haze#conflict),(food#positive)(service#positive),"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!"
(tables#negative)(menu#neutral)(wine list#negative),(food#neutral)(ambience#negative)(price#negative),"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced."
,(anecdotes/miscellaneous#positive),"All in all a wonderful experience, can't wait to come back."
(food#negative),(food#negative),The food was actually aweful.
,(anecdotes/miscellaneous#neutral),"after dining at B.O.G over twenty times now, its official !"
(appetizer#positive)(portions#positive)(served#neutral)(lunch#neutral),(food#positive)(price#positive),They are served with a free appetizer and the portions are perfect for lunch.
(space#positive)(decor#positive)(dinner#neutral),(ambience#positive),There is actually space to breathe and the decor sets the tone for an intimate dinner.
(service#positive),(service#positive),We went around 9:30 on a Friday and it had died down a bit by then so the service was great!
(Steak#neutral),(food#neutral)(anecdotes/miscellaneous#neutral),"My husband and I both ordered the Steak, medium."
(rice#negative)(sushi#negative)(seasoning#negative),(food#negative),"Furthermore, the rice had no seasoning, so the sushi was bland and disgusting."
(sushi#positive)(menu#positive)(Japanese classic cuisine#positive),(food#positive),This place has realy fresh sushi and a nice large menu of Japanese classic cuisine.
(sushi#neutral)(prices#neutral),(food#neutral)(price#negative),The sushi is average and the prices are anything but.
(spinach#positive)(Shanghai low mein#positive),(food#positive),"My wife and I also enjoyed the spinach, the Shanghai low mein, and other attractions."
(Owner#neutral),(anecdotes/miscellaneous#neutral),Owner must have coem on this website to give himself credit.
(service#positive),(anecdotes/miscellaneous#neutral),Turned out there was full service upstairs and sat down.
,(anecdotes/miscellaneous#positive),I would go back.
,(anecdotes/miscellaneous#positive),Definitely will be back!
(dim sum orders#neutral),(food#neutral),Several of the dim sum orders had about 6-8 pieces.
,(anecdotes/miscellaneous#neutral),I'm not sure why these other reviewers are whining so much.
,(anecdotes/miscellaneous#neutral),they live up to the thai way of living.
(dumpling#positive),(food#positive),If you have a dumpling fetish i suggest you try some here!
(wine menu#positive)(entree#positive)(horedevous#positive),(food#positive),"Three page wine menu, one page entree and horedevous."
(food#positive)(owner#positive),(food#positive)(service#positive),"The food is consistently wonderful - I've been coming here for years, and the owner has always been accomodating and friendly."
(waiters#negative)(owners#negative),(service#negative),The waiters and owners were nonchalant about this and promised to call the exterminator but weren't as dismayed or apologetic as I would have expected.
,(anecdotes/miscellaneous#neutral),"I live nearby and when they first opened, I ate there a lot."
(food#positive),(food#positive),And the food was fantastic.
,(anecdotes/miscellaneous#positive),This is the kind of place you'd like to take all your friends to and still keep a secret.
(drink#neutral)(hong-kong styled milk#positive)(tea with tapioca pearls (hot)#positive),(food#positive)(ambience#positive),"If you're looking for a place to sit down, have a drink and conversations with friends, go to sweet-n-tart and order yourself a hong-kong styled milk and tea with tapioca pearls (hot)."
(chef#neutral)(assortment of fish#neutral)(Fatty Yellow Tail#neutral)(Boton Shrimp#neutral)(Sea Eel#neutral)(Sea Urchin#neutral)(Blue Fin Torro (Fatty Tuna)#neutral),(food#neutral),"Aside from the Sea Urchin, the chef recommended an assortment of fish including Fatty Yellow Tail, Boton Shrimp, Blue Fin Torro (Fatty Tuna), Sea Eel, etc."
(owner#positive),(service#positive),"They're also friendlier here, especially the owner, Kenny."
(room#negative)(plate#positive),(food#positive)(ambience#negative),"While the room is not particularly comfortable, once you're seated you'll forget about everything except what's on your plate."
(waterbugs#negative),(anecdotes/miscellaneous#neutral)(ambience#negative),I've lived in NYC all my life and had never before seen so many waterbugs in one place (except in a really bad dream).
(crew#positive)(staff#positive)(serving#positive),(service#positive),Winnie and her staff are the best crew you can find serving you.
(ambiance#positive)(food#negative)(dishes#positive)(eggplant parmesan#positive)(veal in carozza chicken saltimbocca#positive),(food#conflict)(ambience#positive),"The ambiance is minimal the food is not phenomenal, but some dishes are quite good, such as the eggplant parmesan, veal in carozza chicken saltimbocca."
(host#neutral)(appetizers#neutral)(waiter#neutral),(service#neutral),"My host asked for appetizers for the group and the waiter gave us not only what we ordered, but some other items that were not ordered."
(chutneys#positive),(food#positive)(service#positive),You can even get packages of the chutneys to stock your fridge!
(bar#positive)(mixed drink special#positive),(food#positive),The bar has various selections and the mixed drink special is a catcher! 2 for 1's.
,(price#conflict),Slightly on the pricey side but worth it!
(food#positive)(service#positive)(ambience#positive),(food#positive)(service#positive)(ambience#positive),"If it isn't for the food (A+++), it must be the service or the ambience."
(chef#negative)(staff#negative),(service#negative)(food#negative),"During the course of the past 3 months, the chef and staff changed and it was not for the better."
(ambience#positive),(ambience#positive),"I like the ambience, it's very dark and original."
,(ambience#positive),Not the typical NYC gimmick theme restaurant.
,(anecdotes/miscellaneous#neutral),We were exploring Grand Central and didn't want to eat in the food court.
(money#negative),(price#negative),"Overall, not worth the money."
(prices#negative),(price#negative),This place is not worth the prices.
(drink#neutral),(anecdotes/miscellaneous#neutral),We left after one drink.
,(anecdotes/miscellaneous#negative),Everything that happened was not even up to mediocre.
,(ambience#negative),Our last time there a few weeks ago was early at 5pm and it was very crowded and noisy.
(bagels#positive),(food#positive),Pick a bagel has the best bagels in the city.
(atmosphere#conflict),(ambience#conflict),"You are paying for the atmosphere, which is nice, but can be had in numerous places in Bay Ridge."
,(food#neutral),It's called Gnochi alla nona and is found under Chef Specials.
,(ambience#positive),It is one the nicest outdoor restaurants I have ever seen in NY--I am from Italy and this place rivals the ones in my country.
(waiting area#negative)(seat#negative)(bar#neutral)(wait#negative),(ambience#negative),Yes you have to wait to be seated and because its small there is no waiting area and the seat at the bar was all taken.
(food#negative)(flavor#negative)(dish#negative)(spice#negative),(food#negative),"The last two times I ordered from here my food was soo spicy that  I could barely eat it, and the spice took away from the flavor of the dish."
(fried dumplings#positive),(food#positive),The fried dumplings are GREAT!
(BBQ ribs#positive),(food#positive),This place has the best Chinese style BBQ ribs in the city.
(waiters#neutral),(anecdotes/miscellaneous#neutral),Ive been here so many times the waiters know my name.
(decor#conflict),(ambience#conflict),The decor is very simple but comfortable.
,(anecdotes/miscellaneous#positive),I've been frequenting The Tasting Room since it first arrived in the East Village and I've never been disappointed.
(Argentinian Pizza#neutral)(lunch#neutral)(Pelligrino#positive)(pizza#positive)(goat cheese#positive)(blue cheese#positive),(food#positive),"We figured we never had Argentinian Pizza before so we grabbed our lunch there, sharing a large Pelligrino, a pizza of two of their specials, one was goat cheese the other blue cheese, and both were excellent."
,(anecdotes/miscellaneous#positive),Heartland Brewery is a great way to start or finish your day.
(kamasutra#positive)(bombay cosmopolitan#positive),(food#positive),The 'kamasutra' and 'bombay cosmopolitan' are excellent and will have you tipsy in no time.
(date spot#positive),(anecdotes/miscellaneous#positive),This is the perfect date spot for Williamsburg couples.
(dim sum#neutral),(food#neutral),The dim sum here is only so-so.
,(anecdotes/miscellaneous#neutral),"It was raining, and we figured why not?"
(food#positive),(food#positive)(price#positive),"$6 and there is much tasty food, all of it fresh and continually refilled."
(food#positive),(food#positive)(price#positive),"Just straight up cheap, good food."
,(anecdotes/miscellaneous#positive),Another welcome addition to the neighborhood.
(Seating#neutral),(ambience#conflict),Seating is ok even though sometimes there's alot of people.
,(anecdotes/miscellaneous#neutral),"This time, I prefer not to go into detail."
(cost#negative)(botle of wine#conflict),(price#negative),"Even with a relatively inexpensive botle of wine, if you can call $70.00 inexpensive, the cost is through the roof for better than average fare."
(Service#negative)(people#positive),(service#conflict),"Service was slow, but the people were friendly."
,(food#positive),Steamed fresh so brought hot hot hot to your table.
(steak#negative)(sauce#negative),(food#negative),The steak was very fatty and the sauce was overpowering and not very tasty.
,(ambience#negative),My only problem is that you are literally sitting on top of the people next to you!
,(price#positive),And affordable.
(staff#positive)(food#positive)(atmosphere#positive),(food#positive)(service#positive)(ambience#positive),"The staff makes you feel at home, the food is great and the atmosphere is WONDERFUL!"
,(anecdotes/miscellaneous#neutral),i actually feel like i should keep it a secret.
(food#conflict)(steak dish#negative),(food#conflict),The food is alright - some stuff is good - some is not (like the steak dish which tends to be dry).
,(anecdotes/miscellaneous#negative),"Not only would I not recommend Jimmy's restaurants to friends, I would strongly suggest they go anywhere but."
(menu#positive),(food#positive),They have a very diverse menu so its something for everybody.
,(anecdotes/miscellaneous#negative),Haru on Park S is simply disgusting.
(staff#negative)(sushi#neutral)(check#neutral)(dinner#neutral)(bar#neutral),(service#negative),The staff was too busy ordering sushi for dinner and then laying it out to eat on the bar to even bring me my check.
(food spot#positive),(anecdotes/miscellaneous#positive),"As a long-time patron of Mamoun's, I always figured that I had found the best late night food spot in the city."
,(anecdotes/miscellaneous#neutral),I drop more dollar bills here than your uncle after a weekend at Scores.
(bagel#neutral),(food#positive),The bagel was huge.
,(anecdotes/miscellaneous#positive),Go there to relax and feel like your somewhere else.
(tuna#positive),(food#positive),Get the tuna of gari.
(somosas#positive)(chai#positive)(chole#positive)(dhosas#negative)(dhal#negative),(food#conflict),"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing."
,(anecdotes/miscellaneous#positive),It was a very nice surprise.
(prices#negative),(food#neutral)(price#negative),Edible but really a ripoff at those prices given whats in the area.
(staff#conflict)(bathroom#negative),(service#conflict)(ambience#negative),"The staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often."
,(anecdotes/miscellaneous#positive),I am French and I really felt like home!!!
,(anecdotes/miscellaneous#positive),I have been to Casimir over 5 times and I have always had a great time there.
(service#positive),(service#positive),The service was the only thing good about this restaurant.
,(anecdotes/miscellaneous#neutral),"It's usually packed for good reason, esp."
(Service#positive),(service#positive),Service- friendly and attentive.
,(anecdotes/miscellaneous#positive),I love going there!
,(anecdotes/miscellaneous#positive),I cannot recommend OG more highly if I tried - check it out for yourself.
,(anecdotes/miscellaneous#positive),"It was the first place we ate on our first trip to New York, and it will be the last place we stop as we head out of town on our next trip to New York."
(Service#conflict),(service#positive),Service was very prompt but slightly rushed.
(food#positive)(decor#positive)(service#positive),(food#positive)(service#positive)(ambience#positive),"Great food, great decor, great service."
(tables#neutral)(space#neutral),(service#negative),"And, atlhough tables opened up next to us and we ASKED for a slightly larger space, they left us awkardly seated."
(palak paneer#neutral)(malai kofta#neutral),(food#neutral),"The palak paneer was standard, and I was not a fan of the malai kofta."
(dining#positive)(price#positive),(price#positive),I've dined at Alain Ducasse's restaurant in Monte Carlo for half the price for the same excellent dining experience.
(service#negative),(service#negative),"Yeah, sometimes the service can be slow."
(ambiance#negative),(ambience#negative),There was no ambiance.
(food#positive)(service#positive),(anecdotes/miscellaneous#negative),"Save your money and don't waste your calories, go to Margharita's on Washington Street instead, they have amazing food and the BEST service."
(service#positive)(dish#positive)(spring rolls#positive)(cod with pineapple tempura#positive),(food#positive)(service#positive),The service was attentive without being overbearing and each dish we tried was wonderful from the spring rolls to the cod with pineapple tempura.
,(anecdotes/miscellaneous#positive),But trust me it is so worth it.
,(anecdotes/miscellaneous#neutral),It is not a place for tourists or someone who has never dined in Bay Ridge.
,(anecdotes/miscellaneous#positive),THe perfect spot.
(bottle#neutral)(waitress#negative)(price#negative),(price#negative),"The only weird thing was if we got a bottle, the waitress would have simply multiplied the glass price X4, which makes no sense whatsoever."
(sushi#positive)(sauce#positive)(topping#positive),(food#positive),"They sell special sushi, everything have a topping, sauce and etc."
(taste#negative),(anecdotes/miscellaneous#negative)(ambience#neutral),DO not try unless you're just going there to hang out like the rest of the hipsters who apparently have no sense of taste.
,(service#negative),They never came back to refill our glasses again.
(service#positive)(place#negative),(service#positive)(ambience#negative),"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion."
(service#positive)(food#positive),(food#positive)(service#positive),The service was excellent and the food was delicious.
(Service#positive),(service#positive),Service was also very good.
(meal#positive),(anecdotes/miscellaneous#positive),"I took my girlfriend there for her birthday last night and we had a relaxing, really good meal."
(portions#negative)(qualities#negative),(food#negative),"I would not have been so disappointed with the portions if the qualities were good enough to make up for it, but they were not!"
,(service#negative),"They're rude at times, and not very friendly."
(food#positive),(food#positive)(anecdotes/miscellaneous#positive),I'm happy to have Nosh in the neighborhood and the food is very comforting.
(atmosphere#positive)(music#positive)(dress cod#negative),(ambience#positive),"Good atmosphere, combination of all the hottest music dress code is relatively strict except on Fridays."
,(food#negative),"They kindly brought us more to see if it was better, but it was not!"
(food#positive),(food#positive),love the food.
(candles#positive)(dinner#positive)(surrounding#positive)(pictures#positive),(anecdotes/miscellaneous#positive)(ambience#positive),I would highly recommend Nina's to anyone who wants to have a romantic dinner in a heart warming surrounding filled with candles and family pictures.
(desserts#positive),(food#positive),All the desserts the group tried got favorable reviews.
(sake#positive),(anecdotes/miscellaneous#positive),There's something smooth about sipping sake upper east side style.
(place#positive),(ambience#positive),It's a nice place to relax and have conversation.
,(anecdotes/miscellaneous#positive),This place has got to be the best japanese restaurant in the new york area.
(Reuben sandwich#positive),(food#positive),Best Reuben sandwich ever!
(place#positive),(food#positive),Lucky Strike is a great casual place to just grab a bite to eat.
(strawberry daiquiries#positive),(food#positive),Wonderful strawberry daiquiries as well!
(dinner#neutral),(anecdotes/miscellaneous#positive),"Going to Volare is like going to your favorite aunt's house for dinner, assuming that your aunt is a great Italian cook."
(sushi#negative)(wait service#negative)(atmosphere#conflict)(area#negative),(food#negative)(service#negative)(ambience#conflict),"The sushi has been from average to below average, the wait service has always been sub-par the atmosphere goes from nice to really irritating (if you sit in the area beyond the kitchen, the acousitcs are horrid, everything echoes is extremely loud)."
,(anecdotes/miscellaneous#positive),I loved it and would go again.
(Frites#positive),(food#positive),Frites were delicious if a bit on the thick side.
,(anecdotes/miscellaneous#positive),SO SO SO SO SO good!
,(price#negative),"Alone for 100 bucks, it is really overprice."
,(anecdotes/miscellaneous#positive),"Out of the hundreds of Italian restaurants in Queens, this is among the best."
,(anecdotes/miscellaneous#positive),Very good value
(zen feel#positive),(ambience#positive),Here you get the zen feel without feeling rigid.
(drink#neutral)(bar#neutral)(wait time#negative),(anecdotes/miscellaneous#conflict),I would recommend putting your name down and then getting a drink at a local bar first though because of the wait time.
(egg noodles in the beef broth with shrimp dumplings and slices of BBQ roast pork#positive),(food#positive),I fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of BBQ roast pork.
(table#neutral)(rice congee soup#neutral),(anecdotes/miscellaneous#neutral),I keep my fingers crossed the whole subway ride hoping that there will be a table I can sit at by myself and not have to share with the rice congee soup people.
(bagel#positive),(food#positive),"Overall, the best bagel in town."
,(anecdotes/miscellaneous#positive),Everything a NY pizza joint should be.
,(food#positive),"It was huge, delicious, fresh, and will be the reason we return."
,(anecdotes/miscellaneous#neutral),We go often.
(summer rolls#positive),(food#positive),"Light, refreshing summer rolls (not fried) remind me of Vietnamese places in Paris."
(sushi#positive),(food#positive),The sushi seemed pretty fresh and was adequately proportioned.
,(anecdotes/miscellaneous#negative),moral stay away.
(service#negative),(service#negative),but the service was a bit slow.
(Spreads#positive)(toppings#positive),(food#positive)(price#negative),Spreads and toppings are great - though a bit pricey.
(pizza#positive),(anecdotes/miscellaneous#positive),"When I saw that their website had a link to da Ciro in Napoli, I knew there was going to be good pizza!"
(plates#neutral),(service#negative),No one asked what was wrong as we left with nothing touched on our plates.
(Indoor#positive),(ambience#positive),Indoor was very cozy and cute.
(brunch#positive)(mimosas#positive),(service#positive),We had a 3 hour brunch- they definitely do not rush you- and they kept the unlimited mimosas flowing the whole time.
(prices#negative)(prices#negative)(food#negative)(service#negative),(food#negative)(service#negative)(price#negative),And their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service!
,(anecdotes/miscellaneous#positive),They're terrific!!
(service#positive)(food#positive),(food#positive)(service#positive),"The service was excellent, the food was excellent, but the entire experience was very cool."
(service#positive),(service#positive)(ambience#positive),The service is good and the resturant is clean.
(drinks#positive)(dinner#positive)(spot#positive),(ambience#positive),"Great spot, whether looking for a couple of drinks or quiet dinner."
(dishes#negative),(food#neutral),Just stick with the small dishes!
(cafe#positive)(outdoor chairs#positive)(tables#positive)(service#negative),(service#negative)(ambience#positive),"The cafe itself was really nice with comfortable outdoor chairs and tables, but the service could have been better."
(staff#positive),(service#positive),I've rarely had a problem with slow staff in the 10 years I've been going.
(Food#positive),(food#positive),Food is excellent.
,(ambience#negative),"This place is a literal hole-in-the-wall that is buried within Doyers, right off of Pell St (barber's alley) in Chinatown."
,(anecdotes/miscellaneous#positive),They outshine HH.
(salads#positive)(lettuce#neutral)(walnuts#neutral),(food#positive),Although we were looking for regular lettuce and some walnuts the salads we got were great.
(lunch buffet#positive),(food#positive)(price#positive),Excellent lunch buffet for only $6.95.
,(anecdotes/miscellaneous#negative),We were sorry to check them off our list as we had enjoyed and recommended the place in the past.
(cuisine#negative),(anecdotes/miscellaneous#negative),"If you're not familiar with the cuisine, you may encounter problems ordering here and be sure to bring plenty of cash with you as they don't accept credit cards."
